patient,ssim,mse
02,0.7264259179433162,0.009398528184061596
03,0.8341319953409542,0.006813632413922564
04,0.7906027169503164,0.005175612723862255
05,0.7962519931798481,0.006873160181597801
06,0.7823346977156537,0.0054608639663948685
07,0.8368206873067228,0.005092204418578722
101,0.4724040810993239,0.0243471580748425
102,0.5517335744157633,0.019098541893014676
103,0.6109155260065273,0.008922894456951956
104,0.5753134892710055,0.015385169949029102
105,0.49753708453301637,0.01590046318275168
107,0.5073447897507088,0.02152391010821231
108,0.5415242334910815,0.014615062090324534
109,0.4968352311500616,0.02215650969766848
