patient,ssim,mse
02,0.14341228814443335,0.05753379021523
03,0.16520099637842925,0.03589032761871358
04,0.15979224665369,0.05237887466398098
05,0.14284929930834253,0.07944871503493339
06,0.14653389212024326,0.04198348495986244
07,0.14305676912820223,0.057428376929007624
101,0.309281288262954,0.05691105346053455
102,0.3228306250395203,0.05750255908445915
103,0.36147590758367926,0.04184616049455456
104,0.316507626002762,0.05696970078064478
105,0.2564318063575367,0.08274080829599272
107,0.3266298361579698,0.05205562626180818
108,0.2867114881848048,0.06347412376885488
109,0.2718384572812525,0.07911105953174566
